Time,ParticipantID,DatasetID,TechniqueID,RepetitionID,mapPosx,mapPosy,mapPosz,mapRotaionx,mapRotationy,mapRotationz,markerHandPosx,markerHandPosy,markerHandPosz,reletivePosx,reletivePosy,reletivePosz,Lable
1.959351,16,3,3,1,0.7282597,0.9586034,0.3252965,287.2525,163.5506,161.3792,0.6581988,0.8965836,0.2685796,-11.10006,2.576486,-5.704596,Nothing
1.967682,16,3,3,1,0.729368,0.9578131,0.3249329,287.4104,162.7178,162.2761,0.6582881,0.8968713,0.2688035,-11.12474,2.463377,-5.640688,Nothing
1.975433,16,3,3,1,0.7286651,0.9582897,0.3259746,287.4871,162.6806,161.9639,0.6583195,0.8969602,0.268674,-11.15194,2.570137,-5.631214,Nothing
1.984589,16,3,3,1,0.7292277,0.9583495,0.326147,287.7923,161.9028,162.4841,0.6584485,0.8975862,0.268605,-11.20013,2.536508,-5.574362,Nothing
1.992706,16,3,3,1,0.7289574,0.9585353,0.3263495,287.8801,161.975,162.2976,0.658495,0.8976641,0.2685008,-11.20138,2.573087,-5.559678,Nothing
2.001526,16,3,3,1,0.7290266,0.9584227,0.3269306,288.2487,161.1881,162.7818,0.6588221,0.8981526,0.2683775,-11.21751,2.621612,-5.470674,Nothing
2.010284,16,3,3,1,0.7290376,0.9580687,0.3269534,288.2736,160.9571,162.9876,0.658767,0.8981185,0.2682886,-11.22255,2.617604,-5.442267,Nothing
2.018127,16,3,3,1,0.7294452,0.9572619,0.3272716,288.5956,159.8495,163.9266,0.6588527,0.898482,0.2680504,-11.26024,2.620597,-5.326848,Nothing
2.026184,16,3,3,1,0.729518,0.9569698,0.3273163,288.5749,159.7493,164.0528,0.6587953,0.8983731,0.2679704,-11.27425,2.6215,-5.311618,Nothing
2.03595,16,3,3,1,0.7302119,0.9557694,0.327278,288.7747,158.6223,165.1866,0.65883,0.8986246,0.2677254,-11.30608,2.583107,-5.197972,Nothing
2.051575,16,3,3,1,0.7308625,0.9545862,0.3276299,288.9644,157.5228,166.2269,0.6586097,0.8985817,0.2673751,-11.39835,2.56996,-5.106812,Nothing
2.059784,16,3,3,1,0.7313428,0.953685,0.3277788,289.1517,156.6427,167.0644,0.6584913,0.8985856,0.2670731,-11.45626,2.55956,-5.036255,Nothing
2.068176,16,3,3,1,0.7311727,0.9541796,0.3279771,289.1457,156.7863,166.8263,0.6584303,0.8985182,0.2671435,-11.46799,2.577029,-5.083775,Nothing
2.076447,16,3,3,1,0.731491,0.9536272,0.3281671,289.3437,156.1356,167.3965,0.6583399,0.8984642,0.2669693,-11.51436,2.575597,-5.044665,Nothing
